"subject" "session" "orLarge" "orSmall" "task" "rt" "response" "vertical"
"1" 1 1 "Bottom" 1.5 "comp" 0.870270864883 1 TRUE
"2" 1 1 "Bottom" 0 "comp" 1.8228349188 0 TRUE
"3" 1 1 "Top" -2 "equ" 2.49314549218 0 TRUE
"4" 1 1 "Top" -2 "equ" 1.24660743354 0 TRUE
"5" 1 1 "Top" 1 "equ" 1.28189664061 1 TRUE
"6" 1 1 "Bottom" 2 "comp" 0.882053864814 1 TRUE
"7" 1 1 "Bottom" 1 "comp" 1.1995766215 1 TRUE
"8" 1 1 "Top" 0.5 "equ" 1.24658366976 1 TRUE
"9" 1 1 "Left" -2 "comp" 1.65821979423 0 FALSE
"10" 1 1 "Bottom" 1.5 "equ" 2.02279176072 0 TRUE
"11" 1 1 "Top" -0.5 "comp" 1.41119841105 0 TRUE
"12" 1 1 "Left" -2 "equ" 1.57587294506 0 FALSE
"13" 1 1 "Left" -1.5 "equ" 1.28186674424 0 FALSE
"14" 1 1 "Right" 2 "equ" 1.37595634824 0 FALSE
"15" 1 1 "Top" -2 "equ" 1.44651713119 0 TRUE
"16" 1 1 "Right" -1 "comp" 1.22307056347 0 FALSE
"17" 1 1 "Bottom" 1.5 "comp" 0.917287878596 1 TRUE
"18" 1 1 "Right" 0.5 "equ" 1.19954710843 1 FALSE
"19" 1 1 "Bottom" 2 "comp" 0.858483265511 1 TRUE
"20" 1 1 "Top" -1.5 "comp" 1.09369826827 0 TRUE
"21" 1 1 "Left" -0.5 "comp" 1.21130672787 0 FALSE
"22" 1 1 "Top" -1 "comp" 0.92905784678 0 TRUE
"23" 1 1 "Top" 0 "comp" 1.76404065445 1 TRUE
"24" 1 1 "Left" 0.5 "equ" 1.35242791048 1 FALSE
"25" 1 1 "Top" -0.5 "equ" 3.23407894096 1 TRUE
"26" 1 1 "Left" -1.5 "comp" 1.88170162433 0 FALSE
"27" 1 1 "Top" 1 "comp" 1.36417104859 1 TRUE
"28" 1 1 "Bottom" 1 "equ" 1.68169648829 1 TRUE
"29" 1 1 "Bottom" 1.5 "equ" 1.41124210573 1 TRUE
"30" 1 1 "Bottom" 0 "equ" 1.31714445271 0 TRUE
"31" 1 1 "Top" -1 "equ" 1.6582178778 0 TRUE
"32" 1 1 "Bottom" 1 "comp" 0.92909157601 1 TRUE
"33" 1 1 "Right" -1.5 "equ" 1.79931874621 0 FALSE
"34" 1 1 "Left" 1 "comp" 3.1399939364 0 FALSE
"35" 1 1 "Right" 1.5 "comp" 1.093703251 1 FALSE
"36" 1 1 "Top" -1 "equ" 1.42301437363 0 TRUE
"37" 1 1 "Left" 2 "equ" 1.505326727 0 FALSE
"38" 1 1 "Right" 2 "comp" 0.999601765112 1 FALSE
"39" 1 1 "Top" -1.5 "equ" 1.34066024201 0 TRUE
"40" 1 1 "Left" -0.5 "comp" 1.3054154962 0 FALSE
"41" 1 1 "Left" -1.5 "equ" 1.42299904217 0 FALSE
"42" 1 1 "Right" -1 "equ" 1.1054697696 1 FALSE
"43" 1 1 "Left" 2 "equ" 1.8463392095 0 FALSE
"44" 1 1 "Bottom" 0.5 "comp" 1.08194784771 1 TRUE
"45" 1 1 "Bottom" -1 "equ" 1.22304143368 1 TRUE
"46" 1 1 "Left" 2 "comp" 0.917276763282 1 FALSE
"47" 1 1 "Left" -1 "equ" 1.69347757179 0 FALSE
"48" 1 1 "Bottom" 2 "comp" 0.846759675019 1 TRUE
"49" 1 1 "Bottom" 1.5 "equ" 2.04628531939 0 TRUE
"50" 1 1 "Top" 0 "equ" 1.11726580128 1 TRUE
"51" 1 1 "Left" -1 "comp" 0.952604682307 0 FALSE
"52" 1 1 "Top" 0.5 "equ" 1.28187785956 1 TRUE
"53" 1 1 "Bottom" -1.5 "equ" 3.15175508899 0 TRUE
"54" 1 1 "Bottom" -1.5 "equ" 1.258372419 0 TRUE
"55" 1 1 "Top" 0.5 "comp" 1.69346952277 1 TRUE
"56" 1 1 "Left" -2 "equ" 1.39944530748 0 FALSE
"57" 1 1 "Right" 0.5 "equ" 1.18779170514 1 FALSE
"58" 1 1 "Right" 1.5 "comp" 1.0584121275 1 FALSE
"59" 1 1 "Bottom" 0.5 "equ" 1.24659018564 1 TRUE
"60" 1 1 "Right" 1 "comp" 1.11723092219 1 FALSE
"61" 1 1 "Left" 0 "equ" 1.32893856796 1 FALSE
"62" 1 1 "Left" 1.5 "comp" 1.4464822521 1 FALSE
"63" 1 1 "Left" 1 "comp" 1.01140891211 1 FALSE
"64" 1 1 "Right" 1 "comp" 1.14072179786 1 FALSE
"65" 1 1 "Right" -2 "comp" 0.987884690494 0 FALSE
"66" 1 1 "Right" 2 "comp" 0.893778221879 1 FALSE
"67" 1 1 "Left" -1 "comp" 0.905564671391 0 FALSE
"68" 1 1 "Left" 1.5 "equ" 1.77578110956 0 FALSE
"69" 1 1 "Top" 1 "comp" 1.21133317465 1 TRUE
"70" 1 1 "Right" 2 "equ" 1.31715441817 0 FALSE
"71" 1 1 "Bottom" -1.5 "comp" 0.952574019371 0 TRUE
"72" 1 1 "Bottom" 2 "equ" 1.42301897308 0 TRUE
"73" 1 1 "Top" -2 "equ" 1.32893511838 0 TRUE
"74" 1 1 "Left" 0 "equ" 1.07018324554 1 FALSE
"75" 1 1 "Right" 2 "equ" 2.03455099687 0 FALSE
"76" 1 1 "Bottom" -0.5 "comp" 1.07018017925 0 TRUE
"77" 1 1 "Bottom" 1 "equ" 0.917296694191 1 TRUE
"78" 1 1 "Bottom" 0.5 "comp" 1.55231384435 1 TRUE
"79" 1 1 "Right" 1.5 "equ" 2.15214182528 0 FALSE
"80" 1 1 "Bottom" 0.5 "comp" 1.39949015202 1 TRUE
"81" 1 1 "Right" 1.5 "comp" 1.49355215938 1 FALSE
"82" 1 1 "Bottom" 0.5 "equ" 1.23483746536 1 TRUE
"83" 1 1 "Top" -2 "comp" 0.987842528956 0 TRUE
"84" 1 1 "Right" -2 "comp" 1.17588911976 0 FALSE
"85" 1 1 "Right" -0.5 "comp" 1.2466143327 0 FALSE
"86" 1 1 "Top" 0.5 "equ" 1.10544600583 1 TRUE
"87" 1 1 "Right" -0.5 "comp" 0.882032017472 0 FALSE
"88" 1 1 "Top" -1 "comp" 0.870257833135 0 TRUE
"89" 1 1 "Left" -0.5 "comp" 0.99964737623 0 FALSE
"90" 1 1 "Left" -0.5 "equ" 1.0819252338 0 FALSE
"91" 1 1 "Top" 2 "comp" 0.999610963993 1 TRUE
"92" 1 1 "Left" -1.5 "comp" 0.85850434628 0 FALSE
"93" 1 1 "Right" -1.5 "comp" 1.11722248988 0 FALSE
"94" 1 1 "Left" -0.5 "equ" 1.75230249907 0 FALSE
"95" 1 1 "Left" -0.5 "comp" 1.55235562261 0 FALSE
"96" 1 1 "Left" 1.5 "equ" 1.02312292043 1 FALSE
"97" 1 1 "Top" -1 "comp" 0.987865142872 0 TRUE
"98" 1 1 "Bottom" -0.5 "comp" 1.97569310693 0 TRUE
"99" 1 1 "Right" -1.5 "equ" 1.32893358523 0 FALSE
"100" 1 1 "Left" 1.5 "equ" 0.999809506507 1 FALSE
"101" 1 1 "Bottom" -1.5 "equ" 2.25798184984 0 TRUE
"102" 1 1 "Top" 0.5 "comp" 1.30533462271 1 TRUE
"103" 1 1 "Top" -0.5 "equ" 0.917328123701 1 TRUE
"104" 1 1 "Bottom" -2 "comp" 1.34067710663 0 TRUE
"105" 1 1 "Left" -1.5 "equ" 1.84635224125 0 FALSE
"106" 1 1 "Top" -1 "comp" 0.929275170342 0 TRUE
"107" 1 1 "Left" 0 "comp" 2.46964158477 1 FALSE
"108" 1 1 "Right" -2 "comp" 0.882045432506 0 FALSE
"109" 1 1 "Left" -1 "equ" 1.69347488878 0 FALSE
"110" 1 1 "Top" -0.5 "comp" 0.929080843982 0 TRUE
"111" 1 1 "Right" 1 "equ" 0.964365068323 1 FALSE
